MovieID,Title,Title_Clean,Year,Genre_Count,Genres,Language,Country,Total Views,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6
33,Wings of Courage (1995),Wings of Courage,1995.0,2,Adventure|Romance,English,Italy,94496,Adventure,Romance,,,,
34,Babe (1995),Babe,1995.0,3,Children's|Comedy|Drama,Italian,Canada,62835,Children's,Comedy,Drama,,,
35,Carrington (1995),Carrington,1995.0,2,Drama|Romance,Italian,Italy,85634,Drama,Romance,,,,
36,Dead Man Walking (1995),Dead Man Walking,1995.0,1,Drama,French,UK,6664,Drama,,,,,
37,Across the Sea of Time (1995),Across the Sea of Time,1995.0,1,Documentary,Italian,France,96231,Documentary,,,,,
38,It Takes Two (1995),It Takes Two,1995.0,1,Comedy,Italian,Canada,42456,Comedy,,,,,
39,Clueless (1995),Clueless,1995.0,2,Comedy|Romance,Spanish,India,17636,Comedy,Romance,,,,
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",1995.0,1,Drama,Spanish,France,56407,Drama,,,,,
41,Richard III (1995),Richard III,1995.0,2,Drama|War,Italian,USA,22916,Drama,War,,,,
42,Dead Presidents (1995),Dead Presidents,1995.0,3,Action|Crime|Drama,French,Italy,80657,Action,Crime,Drama,,,
43,Restoration (1995),Restoration,1995.0,1,Drama,English,Italy,59361,Drama,,,,,
44,Mortal Kombat (1995),Mortal Kombat,1995.0,2,Action|Adventure,Spanish,UK,55503,Action,Adventure,,,,
45,To Die For (1995),To Die For,1995.0,2,Comedy|Drama,German,Italy,9861,Comedy,Drama,,,,
46,How to Make an American Quilt (1995),How to Make an American Quilt,1995.0,2,Drama|Romance,German,Canada,24155,Drama,Romance,,,,
47,Seven (Se7en) (1995),Seven (Se7en),1995.0,2,Crime|Thriller,Spanish,Italy,44918,Crime,Thriller,,,,
48,Pocahontas (1995),Pocahontas,1995.0,4,Animation|Children's|Musical|Romance,Italian,Italy,89436,Animation,Children's,Musical,Romance,,
49,When Night Is Falling (1995),When Night Is Falling,1995.0,2,Drama|Romance,French,India,92016,Drama,Romance,,,,
50,"Usual Suspects, The (1995)","Usual Suspects, The",1995.0,2,Crime|Thriller,Italian,India,86782,Crime,Thriller,,,,
51,Guardian Angel (1994),Guardian Angel,1994.0,3,Action|Drama|Thriller,English,India,86868,Action,Drama,Thriller,,,
52,Mighty Aphrodite (1995),Mighty Aphrodite,1995.0,1,Comedy,German,Italy,16459,Comedy,,,,,
53,Lamerica (1994),Lamerica,1994.0,1,Drama,Spanish,Canada,11033,Drama,,,,,
54,"Big Green, The (1995)","Big Green, The",1995.0,2,Children's|Comedy,French,UK,31907,Children's,Comedy,,,,
55,Georgia (1995),Georgia,1995.0,1,Drama,French,UK,71386,Drama,,,,,
56,Kids of the Round Table (1995),Kids of the Round Table,1995.0,3,Adventure|Children's|Fantasy,French,Canada,12661,Adventure,Children's,Fantasy,,,
57,Home for the Holidays (1995),Home for the Holidays,1995.0,1,Drama,Spanish,Canada,17251,Drama,,,,,
58,"Postino, Il (The Postman) (1994)","Postino, Il (The Postman)",1994.0,2,Drama|Romance,German,France,3466,Drama,Romance,,,,
59,"Confessional, The (Le Confessionnal) (1995)","Confessional, The (Le Confessionnal)",1995.0,2,Drama|Mystery,French,UK,75571,Drama,Mystery,,,,
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",1995.0,3,Adventure|Children's|Fantasy,English,France,33177,Adventure,Children's,Fantasy,,,
61,Eye for an Eye (1996),Eye for an Eye,1996.0,2,Drama|Thriller,German,Canada,82291,Drama,Thriller,,,,
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995.0,1,Drama,French,France,44033,Drama,,,,,
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996.0,1,Comedy,Italian,UK,5798,Comedy,,,,,
64,Two if by Sea (1996),Two if by Sea,1996.0,2,Comedy|Romance,French,UK,71031,Comedy,Romance,,,,
65,Bio-Dome (1996),Bio-Dome,1996.0,1,Comedy,Spanish,USA,39634,Comedy,,,,,
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,1996.0,2,Sci-Fi|Thriller,German,Italy,79659,Sci-Fi,Thriller,,,,
67,Two Bits (1995),Two Bits,1995.0,1,Drama,Spanish,USA,64963,Drama,,,,,
68,French Twist (Gazon maudit) (1995),French Twist (Gazon maudit),1995.0,2,Comedy|Romance,French,USA,22424,Comedy,Romance,,,,
69,Friday (1995),Friday,1995.0,1,Comedy,Spanish,India,57490,Comedy,,,,,
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996.0,5,Action|Comedy|Crime|Horror|Thriller,French,UK,31523,Action,Comedy,Crime,Horror,Thriller,
71,Fair Game (1995),Fair Game,1995.0,1,Action,Italian,France,3878,Action,,,,,
72,Kicking and Screaming (1995),Kicking and Screaming,1995.0,2,Comedy|Drama,Spanish,UK,89414,Comedy,Drama,,,,
73,"Misérables, Les (1995)","Misérables, Les",1995.0,2,Drama|Musical,Spanish,USA,60469,Drama,Musical,,,,
74,Bed of Roses (1996),Bed of Roses,1996.0,2,Drama|Romance,Spanish,USA,47208,Drama,Romance,,,,
75,Big Bully (1996),Big Bully,1996.0,2,Comedy|Drama,German,Canada,72712,Comedy,Drama,,,,
76,Screamers (1995),Screamers,1995.0,2,Sci-Fi|Thriller,English,France,87717,Sci-Fi,Thriller,,,,
77,Nico Icon (1995),Nico Icon,1995.0,1,Documentary,English,USA,25310,Documentary,,,,,
78,"Crossing Guard, The (1995)","Crossing Guard, The",1995.0,1,Drama,German,USA,29119,Drama,,,,,
79,"Juror, The (1996)","Juror, The",1996.0,2,Drama|Thriller,Italian,Italy,62017,Drama,Thriller,,,,
80,"White Balloon, The (Badkonake Sefid ) (1995)","White Balloon, The (Badkonake Sefid )",1995.0,1,Drama,Italian,Italy,26286,Drama,,,,,
81,Things to Do in Denver when You're Dead (1995),Things to Do in Denver when You're Dead,1995.0,3,Crime|Drama|Romance,Italian,India,64321,Crime,Drama,Romance,,,
82,Antonia's Line (Antonia) (1995),Antonia's Line (Antonia),1995.0,1,Drama,English,Canada,4373,Drama,,,,,
83,Once Upon a Time... When We Were Colored (1995),Once Upon a Time... When We Were Colored,1995.0,1,Drama,English,USA,58713,Drama,,,,,
84,Last Summer in the Hamptons (1995),Last Summer in the Hamptons,1995.0,2,Comedy|Drama,German,Canada,38384,Comedy,Drama,,,,
85,Angels and Insects (1995),Angels and Insects,1995.0,2,Drama|Romance,Italian,USA,73246,Drama,Romance,,,,
86,White Squall (1996),White Squall,1996.0,2,Adventure|Drama,Italian,France,17692,Adventure,Drama,,,,
87,Dunston Checks In (1996),Dunston Checks In,1996.0,2,Children's|Comedy,Italian,Canada,25583,Children's,Comedy,,,,
88,Black Sheep (1996),Black Sheep,1996.0,1,Comedy,English,France,96230,Comedy,,,,,
89,Nick of Time (1995),Nick of Time,1995.0,2,Action|Thriller,English,UK,85159,Action,Thriller,,,,
90,"Journey of August King, The (1995)","Journey of August King, The",1995.0,1,Drama,Italian,Italy,82407,Drama,,,,,
92,Mary Reilly (1996),Mary Reilly,1996.0,2,Drama|Thriller,Italian,USA,33125,Drama,Thriller,,,,
93,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995.0,2,Comedy|Romance,Spanish,Italy,60342,Comedy,Romance,,,,
94,Beautiful Girls (1996),Beautiful Girls,1996.0,1,Drama,English,UK,69599,Drama,,,,,
95,Broken Arrow (1996),Broken Arrow,1996.0,2,Action|Thriller,German,Canada,23271,Action,Thriller,,,,
96,In the Bleak Midwinter (1995),In the Bleak Midwinter,1995.0,1,Comedy,English,USA,9483,Comedy,,,,,
97,"Hate (Haine, La) (1995)","Hate (Haine, La)",1995.0,1,Drama,French,India,88043,Drama,,,,,
98,Shopping (1994),Shopping,1994.0,2,Action|Thriller,Italian,Italy,57302,Action,Thriller,,,,
99,Heidi Fleiss: Hollywood Madam (1995),Heidi Fleiss: Hollywood Madam,1995.0,1,Documentary,Italian,Canada,25024,Documentary,,,,,
100,City Hall (1996),City Hall,1996.0,2,Drama|Thriller,Italian,UK,23783,Drama,Thriller,,,,
101,Bottle Rocket (1996),Bottle Rocket,1996.0,1,Comedy,English,Italy,59763,Comedy,,,,,
102,Mr. Wrong (1996),Mr. Wrong,1996.0,1,Comedy,French,Italy,92015,Comedy,,,,,
103,Unforgettable (1996),Unforgettable,1996.0,1,Thriller,German,Canada,43078,Thriller,,,,,
104,Happy Gilmore (1996),Happy Gilmore,1996.0,1,Comedy,German,India,2602,Comedy,,,,,
105,"Bridges of Madison County, The (1995)","Bridges of Madison County, The",1995.0,2,Drama|Romance,Spanish,India,93429,Drama,Romance,,,,
106,Nobody Loves Me (Keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich),1994.0,2,Comedy|Drama,French,USA,86236,Comedy,Drama,,,,
107,Muppet Treasure Island (1996),Muppet Treasure Island,1996.0,4,Adventure|Children's|Comedy|Musical,French,Italy,74030,Adventure,Children's,Comedy,Musical,,
108,Catwalk (1995),Catwalk,1995.0,1,Documentary,German,India,22527,Documentary,,,,,
109,Headless Body in Topless Bar (1995),Headless Body in Topless Bar,1995.0,1,Comedy,German,Italy,59714,Comedy,,,,,
110,Braveheart (1995),Braveheart,1995.0,3,Action|Drama|War,Italian,UK,6573,Action,Drama,War,,,
111,Taxi Driver (1976),Taxi Driver,1976.0,2,Drama|Thriller,Spanish,India,91445,Drama,Thriller,,,,
112,Rumble in the Bronx (1995),Rumble in the Bronx,1995.0,3,Action|Adventure|Crime,English,India,30625,Action,Adventure,Crime,,,
113,Before and After (1996),Before and After,1996.0,2,Drama|Mystery,German,Canada,92556,Drama,Mystery,,,,
114,Margaret's Museum (1995),Margaret's Museum,1995.0,1,Drama,German,Italy,92562,Drama,,,,,
115,Happiness Is in the Field (1995),Happiness Is in the Field,1995.0,1,Comedy,French,Canada,48416,Comedy,,,,,
116,Anne Frank Remembered (1995),Anne Frank Remembered,1995.0,1,Documentary,Spanish,India,66807,Documentary,,,,,
117,"Young Poisoner's Handbook, The (1995)","Young Poisoner's Handbook, The",1995.0,1,Crime,German,Canada,3446,Crime,,,,,
118,If Lucy Fell (1996),If Lucy Fell,1996.0,2,Comedy|Romance,German,India,21108,Comedy,Romance,,,,
119,"Steal Big, Steal Little (1995)","Steal Big, Steal Little",1995.0,1,Comedy,Spanish,UK,98849,Comedy,,,,,
120,Race the Sun (1996),Race the Sun,1996.0,1,Drama,English,India,31897,Drama,,,,,
121,"Boys of St. Vincent, The (1993)","Boys of St. Vincent, The",1993.0,1,Drama,Spanish,Canada,45843,Drama,,,,,
122,Boomerang (1992),Boomerang,1992.0,2,Comedy|Romance,Spanish,India,58203,Comedy,Romance,,,,
123,Chungking Express (1994),Chungking Express,1994.0,3,Drama|Mystery|Romance,German,USA,55370,Drama,Mystery,Romance,,,
124,"Star Maker, The (Uomo delle stelle, L') (1995)","Star Maker, The (Uomo delle stelle, L')",1995.0,1,Drama,English,USA,77201,Drama,,,,,
125,Flirting With Disaster (1996),Flirting With Disaster,1996.0,1,Comedy,Spanish,France,96627,Comedy,,,,,
126,"NeverEnding Story III, The (1994)","NeverEnding Story III, The",1994.0,3,Adventure|Children's|Fantasy,Spanish,France,47617,Adventure,Children's,Fantasy,,,
127,"Silence of the Palace, The (Saimt el Qusur) (1994)","Silence of the Palace, The (Saimt el Qusur)",1994.0,1,Drama,Italian,USA,72789,Drama,,,,,
128,Jupiter's Wife (1994),Jupiter's Wife,1994.0,1,Documentary,English,France,16764,Documentary,,,,,
129,Pie in the Sky (1995),Pie in the Sky,1995.0,2,Comedy|Romance,English,India,28538,Comedy,Romance,,,,
130,Angela (1995),Angela,1995.0,1,Drama,French,UK,11996,Drama,,,,,
131,Frankie Starlight (1995),Frankie Starlight,1995.0,2,Drama|Romance,English,USA,83400,Drama,Romance,,,,
132,Jade (1995),Jade,1995.0,1,Thriller,French,Italy,37936,Thriller,,,,,
133,Nueba Yol (1995),Nueba Yol,1995.0,2,Comedy|Drama,Italian,Canada,95234,Comedy,Drama,,,,
134,Sonic Outlaws (1995),Sonic Outlaws,1995.0,1,Documentary,English,UK,91695,Documentary,,,,,
135,Down Periscope (1996),Down Periscope,1996.0,1,Comedy,French,Canada,52277,Comedy,,,,,
136,From the Journals of Jean Seberg (1995),From the Journals of Jean Seberg,1995.0,1,Documentary,German,UK,62013,Documentary,,,,,
137,Man of the Year (1995),Man of the Year,1995.0,1,Documentary,Spanish,UK,74222,Documentary,,,,,
138,"Neon Bible, The (1995)","Neon Bible, The",1995.0,1,Drama,Spanish,Italy,13075,Drama,,,,,
139,Target (1995),Target,1995.0,2,Action|Drama,English,France,97467,Action,Drama,,,,
140,Up Close and Personal (1996),Up Close and Personal,1996.0,2,Drama|Romance,Spanish,India,40484,Drama,Romance,,,,
141,"Birdcage, The (1996)","Birdcage, The",1996.0,1,Comedy,French,UK,49504,Comedy,,,,,
142,Shadows (Cienie) (1988),Shadows (Cienie),1988.0,1,Drama,English,France,18264,Drama,,,,,
143,Gospa (1995),Gospa,1995.0,1,Drama,English,India,82558,Drama,,,,,
144,"Brothers McMullen, The (1995)","Brothers McMullen, The",1995.0,1,Comedy,German,USA,18915,Comedy,,,,,
145,Bad Boys (1995),Bad Boys,1995.0,1,Action,English,Italy,72607,Action,,,,,
146,"Amazing Panda Adventure, The (1995)","Amazing Panda Adventure, The",1995.0,2,Adventure|Children's,English,USA,68033,Adventure,Children's,,,,
147,"Basketball Diaries, The (1995)","Basketball Diaries, The",1995.0,1,Drama,Spanish,France,31844,Drama,,,,,
148,"Awfully Big Adventure, An (1995)","Awfully Big Adventure, An",1995.0,1,Drama,Spanish,Canada,35793,Drama,,,,,
149,Amateur (1994),Amateur,1994.0,3,Crime|Drama|Thriller,French,USA,8796,Crime,Drama,Thriller,,,
150,Apollo 13 (1995),Apollo 13,1995.0,1,Drama,Italian,USA,33376,Drama,,,,,
151,Rob Roy (1995),Rob Roy,1995.0,3,Drama|Romance|War,Italian,UK,40670,Drama,Romance,War,,,
152,"Addiction, The (1995)","Addiction, The",1995.0,1,Horror,French,Italy,64261,Horror,,,,,
153,Batman Forever (1995),Batman Forever,1995.0,4,Action|Adventure|Comedy|Crime,Spanish,USA,23973,Action,Adventure,Comedy,Crime,,
154,Belle de jour (1967),Belle de jour,1967.0,1,Drama,Italian,India,10884,Drama,,,,,
155,Beyond Rangoon (1995),Beyond Rangoon,1995.0,2,Drama|War,Spanish,Italy,87349,Drama,War,,,,
156,Blue in the Face (1995),Blue in the Face,1995.0,1,Comedy,Italian,France,14767,Comedy,,,,,
157,Canadian Bacon (1994),Canadian Bacon,1994.0,2,Comedy|War,French,India,51718,Comedy,War,,,,
158,Casper (1995),Casper,1995.0,2,Adventure|Children's,English,USA,66877,Adventure,Children's,,,,
159,Clockers (1995),Clockers,1995.0,1,Drama,German,India,64558,Drama,,,,,
160,Congo (1995),Congo,1995.0,4,Action|Adventure|Mystery|Sci-Fi,English,Canada,63132,Action,Adventure,Mystery,Sci-Fi,,
161,Crimson Tide (1995),Crimson Tide,1995.0,3,Drama|Thriller|War,Spanish,Italy,45161,Drama,Thriller,War,,,
162,Crumb (1994),Crumb,1994.0,1,Documentary,French,Canada,71978,Documentary,,,,,
163,Desperado (1995),Desperado,1995.0,3,Action|Romance|Thriller,Italian,France,68799,Action,Romance,Thriller,,,
164,Devil in a Blue Dress (1995),Devil in a Blue Dress,1995.0,4,Crime|Film-Noir|Mystery|Thriller,Italian,France,29235,Crime,Film-Noir,Mystery,Thriller,,
165,Die Hard: With a Vengeance (1995),Die Hard: With a Vengeance,1995.0,2,Action|Thriller,English,Canada,88265,Action,Thriller,,,,
166,"Doom Generation, The (1995)","Doom Generation, The",1995.0,2,Comedy|Drama,Italian,USA,97949,Comedy,Drama,,,,
167,Feast of July (1995),Feast of July,1995.0,1,Drama,Spanish,UK,31179,Drama,,,,,
168,First Knight (1995),First Knight,1995.0,4,Action|Adventure|Drama|Romance,Italian,Italy,67689,Action,Adventure,Drama,Romance,,
169,Free Willy 2: The Adventure Home (1995),Free Willy 2: The Adventure Home,1995.0,3,Adventure|Children's|Drama,German,USA,88892,Adventure,Children's,Drama,,,
170,Hackers (1995),Hackers,1995.0,3,Action|Crime|Thriller,German,India,23560,Action,Crime,Thriller,,,
171,Jeffrey (1995),Jeffrey,1995.0,1,Comedy,French,Canada,98725,Comedy,,,,,
172,Johnny Mnemonic (1995),Johnny Mnemonic,1995.0,3,Action|Sci-Fi|Thriller,German,France,31896,Action,Sci-Fi,Thriller,,,
173,Judge Dredd (1995),Judge Dredd,1995.0,3,Action|Adventure|Sci-Fi,Spanish,USA,58497,Action,Adventure,Sci-Fi,,,
174,Jury Duty (1995),Jury Duty,1995.0,1,Comedy,German,Italy,11046,Comedy,,,,,
175,Kids (1995),Kids,1995.0,1,Drama,Italian,India,29709,Drama,,,,,
176,Living in Oblivion (1995),Living in Oblivion,1995.0,1,Comedy,English,Italy,94076,Comedy,,,,,
177,Lord of Illusions (1995),Lord of Illusions,1995.0,1,Horror,Spanish,India,14231,Horror,,,,,
178,Love & Human Remains (1993),Love & Human Remains,1993.0,1,Comedy,Italian,Italy,78513,Comedy,,,,,
179,Mad Love (1995),Mad Love,1995.0,2,Drama|Romance,French,UK,72933,Drama,Romance,,,,
180,Mallrats (1995),Mallrats,1995.0,1,Comedy,Spanish,Italy,88028,Comedy,,,,,
181,Mighty Morphin Power Rangers: The Movie (1995),Mighty Morphin Power Rangers: The Movie,1995.0,2,Action|Children's,French,USA,83712,Action,Children's,,,,
182,Moonlight and Valentino (1995),Moonlight and Valentino,1995.0,2,Drama|Romance,Italian,France,1740,Drama,Romance,,,,
183,Mute Witness (1994),Mute Witness,1994.0,1,Thriller,English,USA,46855,Thriller,,,,,
184,Nadja (1994),Nadja,1994.0,1,Drama,English,France,22747,Drama,,,,,
185,"Net, The (1995)","Net, The",1995.0,2,Sci-Fi|Thriller,German,Canada,23169,Sci-Fi,Thriller,,,,
186,Nine Months (1995),Nine Months,1995.0,1,Comedy,German,USA,59963,Comedy,,,,,
187,Party Girl (1995),Party Girl,1995.0,1,Comedy,German,India,59835,Comedy,,,,,
188,"Prophecy, The (1995)","Prophecy, The",1995.0,1,Horror,German,Canada,63522,Horror,,,,,
189,Reckless (1995),Reckless,1995.0,1,Comedy,French,Canada,71202,Comedy,,,,,
190,Safe (1995),Safe,1995.0,1,Thriller,German,UK,92196,Thriller,,,,,
191,"Scarlet Letter, The (1995)","Scarlet Letter, The",1995.0,1,Drama,Italian,Canada,13392,Drama,,,,,
192,"Show, The (1995)","Show, The",1995.0,1,Documentary,Italian,USA,61985,Documentary,,,,,
193,Showgirls (1995),Showgirls,1995.0,1,Drama,English,Italy,57941,Drama,,,,,
194,Smoke (1995),Smoke,1995.0,1,Drama,Italian,France,95316,Drama,,,,,
195,Something to Talk About (1995),Something to Talk About,1995.0,3,Comedy|Drama|Romance,Italian,Italy,53283,Comedy,Drama,Romance,,,
196,Species (1995),Species,1995.0,2,Horror|Sci-Fi,English,Italy,16152,Horror,Sci-Fi,,,,
197,"Stars Fell on Henrietta, The (1995)","Stars Fell on Henrietta, The",1995.0,1,Drama,German,Italy,99939,Drama,,,,,
198,Strange Days (1995),Strange Days,1995.0,3,Action|Crime|Sci-Fi,Spanish,France,79748,Action,Crime,Sci-Fi,,,
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964.0,2,Drama|Musical,English,UK,64286,Drama,Musical,,,,
200,"Tie That Binds, The (1995)","Tie That Binds, The",1995.0,1,Thriller,French,Canada,64644,Thriller,,,,,
201,Three Wishes (1995),Three Wishes,1995.0,1,Drama,German,France,44347,Drama,,,,,
202,Total Eclipse (1995),Total Eclipse,1995.0,2,Drama|Romance,French,France,41331,Drama,Romance,,,,
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar",1995.0,1,Comedy,French,Canada,72214,Comedy,,,,,
204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory,1995.0,1,Action,Italian,Italy,81932,Action,,,,,
205,Unstrung Heroes (1995),Unstrung Heroes,1995.0,2,Comedy|Drama,English,India,87342,Comedy,Drama,,,,
206,Unzipped (1995),Unzipped,1995.0,1,Documentary,German,Canada,27059,Documentary,,,,,
207,"Walk in the Clouds, A (1995)","Walk in the Clouds, A",1995.0,2,Drama|Romance,Italian,Italy,9593,Drama,Romance,,,,
208,Waterworld (1995),Waterworld,1995.0,2,Action|Adventure,German,Italy,89561,Action,Adventure,,,,
209,White Man's Burden (1995),White Man's Burden,1995.0,1,Drama,English,USA,24405,Drama,,,,,
210,Wild Bill (1995),Wild Bill,1995.0,1,Western,German,India,78979,Western,,,,,
211,"Browning Version, The (1994)","Browning Version, The",1994.0,1,Drama,German,France,48307,Drama,,,,,
212,Bushwhacked (1995),Bushwhacked,1995.0,1,Comedy,German,France,21038,Comedy,,,,,
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Burnt By the Sun (Utomlyonnye solntsem),1994.0,1,Drama,French,USA,95325,Drama,,,,,
214,Before the Rain (Pred dozhdot) (1994),Before the Rain (Pred dozhdot),1994.0,1,Drama,Spanish,Canada,29659,Drama,,,,,
215,Before Sunrise (1995),Before Sunrise,1995.0,2,Drama|Romance,English,USA,46925,Drama,Romance,,,,
216,Billy Madison (1995),Billy Madison,1995.0,1,Comedy,German,Italy,16502,Comedy,,,,,
217,"Babysitter, The (1995)","Babysitter, The",1995.0,2,Drama|Thriller,Italian,UK,34150,Drama,Thriller,,,,
218,Boys on the Side (1995),Boys on the Side,1995.0,2,Comedy|Drama,Italian,Canada,56455,Comedy,Drama,,,,
219,"Cure, The (1995)","Cure, The",1995.0,1,Drama,Spanish,India,37262,Drama,,,,,
220,Castle Freak (1995),Castle Freak,1995.0,1,Horror,English,France,84446,Horror,,,,,
222,Circle of Friends (1995),Circle of Friends,1995.0,2,Drama|Romance,Italian,Canada,39286,Drama,Romance,,,,
223,Clerks (1994),Clerks,1994.0,1,Comedy,French,UK,47752,Comedy,,,,,
224,Don Juan DeMarco (1995),Don Juan DeMarco,1995.0,3,Comedy|Drama|Romance,German,Canada,75365,Comedy,Drama,Romance,,,
225,Disclosure (1994),Disclosure,1994.0,2,Drama|Thriller,German,UK,6444,Drama,Thriller,,,,
226,Dream Man (1995),Dream Man,1995.0,1,Thriller,Spanish,Canada,68126,Thriller,,,,,
227,Drop Zone (1994),Drop Zone,1994.0,1,Action,German,Italy,66427,Action,,,,,
228,Destiny Turns on the Radio (1995),Destiny Turns on the Radio,1995.0,1,Comedy,French,Italy,81658,Comedy,,,,,
229,Death and the Maiden (1994),Death and the Maiden,1994.0,2,Drama|Thriller,English,France,50942,Drama,Thriller,,,,
230,Dolores Claiborne (1994),Dolores Claiborne,1994.0,2,Drama|Thriller,Spanish,France,64789,Drama,Thriller,,,,
231,Dumb & Dumber (1994),Dumb & Dumber,1994.0,1,Comedy,English,India,59321,Comedy,,,,,
232,Eat Drink Man Woman (1994),Eat Drink Man Woman,1994.0,2,Comedy|Drama,English,India,41470,Comedy,Drama,,,,
233,Exotica (1994),Exotica,1994.0,1,Drama,German,France,99707,Drama,,,,,
234,Exit to Eden (1994),Exit to Eden,1994.0,1,Comedy,Spanish,India,4986,Comedy,,,,,
235,Ed Wood (1994),Ed Wood,1994.0,2,Comedy|Drama,French,Italy,96646,Comedy,Drama,,,,
236,French Kiss (1995),French Kiss,1995.0,2,Comedy|Romance,German,France,36010,Comedy,Romance,,,,
237,Forget Paris (1995),Forget Paris,1995.0,2,Comedy|Romance,German,UK,38472,Comedy,Romance,,,,
